filename,LASSCF,CASCI,LASSI,LSILCCSD
chn-002--0.1,-295.4599592751448,-295.55567058596705,-295.5511901753263,-295.552747031
chn-002--0.2,-295.28417673704126,-295.4271321314634,-295.4264993895535,-295.426645169
chn-002--0.3,-294.9419522646101,-294.9417116734434,-294.94573517524145,-294.945834866
chn-002-0.0,-295.53609835453494,-295.64726956407014,-295.6452514368565,-295.646117477
chn-002-0.1,-295.54716364450485,-295.6336801982178,-295.630802481925,-295.632150337
chn-002-0.2,-295.4977658074866,-295.527528603336,-295.5268047765232,-295.527165717
chn-002-0.3,-295.47611185462745,-295.4911528100123,-295.4893585787105,-295.48968385
chn-002-0.4,-295.40272530556,-295.43974314121834,-295.4095498937442,-295.433108367
chn-002-0.5,-295.4639789972159,-295.46755033937535,-295.4666102891395,-295.466693117
chn-002-0.6,-295.28839285267594,-295.3084546262343,-295.3050640239145,-295.30578437
chn-002-0.7,-295.41676978635917,-295.41819930290393,-295.4174922203397,-295.417537275
chn-002-0.8,-295.27152298371897,-295.2716053496923,-295.2715889615952,-295.271595397
chn-002-0.9,-295.2383371764632,-295.2383723483076,-295.2383641958752,-295.238370941
chn-002-1.0,-295.21297462119514,-295.21299817841765,-295.2129864957412,-295.212997976
chn-002-1.1,-295.1831076480235,-295.18312573941756,-295.1831129346747,-295.183125598
chn-002-1.2,-295.28263514285123,-295.28265450759335,-295.2826491593512,-295.282649298
chn-002-1.3,-295.2697232103021,-295.2697524546402,-295.2697507133727,-295.269750927
chn-002-1.4,-295.11291386955384,-295.1129173996403,-295.1129158892434,-295.112915962
chn-002-1.5,-295.0772181570106,-295.07722217982604,-295.0772188812671,-295.077219466
chn-002-1.6,-295.0762259655322,-295.07649891917913,-295.07648436037294,-295.076489786
chn-002-1.7,-295.0439413035891,-295.0436994427393,-295.04419896905114,-295.044199073
chn-002-1.8,-295.01465185922643,-295.01695945794864,-295.0146527962827,-295.014656223
chn-002-1.9,-295.1449176298037,-295.1449205561494,-295.1449295062559,-295.144929694
